timestamp,captcha_file,sent_string,method,conf_score,success,notes
2025-08-26 00:50:43,attempts\captcha_images\captcha_1756158638130.png,8540,tesseract+fullimage,37.0,True,
2025-08-26 00:50:53,attempts\captcha_images\captcha_1756158647057.png,3272,tesseract+fullimage,65.0,True,
2025-08-26 00:51:00,attempts\captcha_images\captcha_1756158656241.png,5195,tesseract,2.0,True,
2025-08-26 00:51:07,attempts\captcha_images\captcha_1756158663124.png,5265,tesseract,10.0,False,captcha_incorrect
2025-08-26 00:51:17,attempts\captcha_images\captcha_1756158670879.png,5010,tesseract+fullimage,41.0,True,
2025-08-26 00:51:23,attempts\captcha_images\captcha_1756158679873.png,5537,tesseract,0.0,True,
2025-08-26 00:51:32,attempts\captcha_images\captcha_1756158686506.png,9684,tesseract+fullimage,45.0,False,captcha_incorrect
2025-08-26 00:51:42,attempts\captcha_images\captcha_1756158696301.png,8504,tesseract+fullimage,0.0,False,captcha_incorrect
2025-08-26 00:51:52,attempts\captcha_images\captcha_1756158706156.png,7046,tesseract+fullimage,46.0,True,
2025-08-26 00:52:01,attempts\captcha_images\captcha_1756158715340.png,7006,tesseract+fullimage,50.0,True,
2025-08-26 00:52:10,attempts\captcha_images\captcha_1756158724192.png,1655,tesseract+fullimage,38.0,True,
2025-08-26 00:52:18,attempts\captcha_images\captcha_1756158733051.png,5246,tesseract+fullimage,62.0,False,captcha_incorrect
2025-08-26 00:52:28,attempts\captcha_images\captcha_1756158742656.png,3902,tesseract+fullimage,0.0,True,
2025-08-26 00:52:38,attempts\captcha_images\captcha_1756158752035.png,1894,tesseract+fullimage,38.0,True,
2025-08-26 00:52:46,attempts\captcha_images\captcha_1756158761140.png,9076,tesseract+fullimage,11.0,True,
2025-08-26 00:52:55,attempts\captcha_images\captcha_1756158770089.png,1460,tesseract+fullimage,52.0,True,
2025-08-26 00:53:05,attempts\captcha_images\captcha_1756158778965.png,4822,tesseract+fullimage,58.0,False,captcha_incorrect
2025-08-26 00:53:14,attempts\captcha_images\captcha_1756158788746.png,1218,tesseract+fullimage,63.0,False,captcha_incorrect
2025-08-26 00:53:24,attempts\captcha_images\captcha_1756158798555.png,6949,tesseract+fullimage,27.0,True,
2025-08-26 00:53:33,attempts\captcha_images\captcha_1756158807777.png,2102,tesseract+fullimage,17.0,True,
2025-08-26 00:53:42,attempts\captcha_images\captcha_1756158816642.png,8426,tesseract+fullimage,34.0,True,
2025-08-26 00:53:49,attempts\captcha_images\captcha_1756158825434.png,7689,tesseract,18.0,True,
